company,served_airports_pr_period,neigh_airports_pr_period,pair,airport_type,population,megapolis,tourist,distance_km,distance_km_squared,entry,entry_2
SHU,0,0.0,AER_SVO,2,2302.725341850391,1,2,1405.188162032538,1974553.7707163822,0.0,0
WZ,2,0.0,AER_SVO,2,2302.725341850391,1,2,1405.188162032538,1974553.7707163822,0.0,0
DP,4,0.0,AER_SVO,2,2302.725341850391,1,2,1405.188162032538,1974553.7707163822,0.0,0
7R,2,0.0,AER_SVO,2,2302.725341850391,1,2,1405.188162032538,1974553.7707163822,0.0,0
DRU,0,0.0,AER_SVO,2,2302.725341850391,1,2,1405.188162032538,1974553.7707163822,0.0,0
KAR,0,0.0,AER_SVO,2,2302.725341850391,1,2,1405.188162032538,1974553.7707163822,0.0,0
U6,6,1.0,AER_SVO,2,2302.725341850391,1,2,1405.188162032538,1974553.7707163822,1.0,1
KZN,0,0.0,AER_SVO,2,2302.725341850391,1,2,1405.188162032538,1974553.7707163822,0.0,0
RSJ,0,0.0,AER_SVO,2,2302.725341850391,1,2,1405.188162032538,1974553.7707163822,0.0,0
S7,22,1.0,AER_SVO,2,2302.725341850391,1,2,1405.188162032538,1974553.7707163822,0.0,0
Y7,4,0.0,AER_SVO,2,2302.725341850391,1,2,1405.188162032538,1974553.7707163822,0.0,0
R3,4,0.0,AER_SVO,2,2302.725341850391,1,2,1405.188162032538,1974553.7707163822,0.0,0
UVT,0,0.0,AER_SVO,2,2302.725341850391,1,2,1405.188162032538,1974553.7707163822,0.0,0
N4,5,4.0,AER_SVO,2,2302.725341850391,1,2,1405.188162032538,1974553.7707163822,1.0,1
FV,11,3.0,AER_SVO,2,2302.725341850391,1,2,1405.188162032538,1974553.7707163822,1.0,1
RSD,2,1.0,AER_SVO,2,2302.725341850391,1,2,1405.188162032538,1974553.7707163822,0.0,0
UT,13,0.0,AER_SVO,2,2302.725341850391,1,2,1405.188162032538,1974553.7707163822,0.0,0
SU,26,23.0,AER_SVO,2,2302.725341850391,1,2,1405.188162032538,1974553.7707163822,1.0,0
NWS,3,2.0,AER_SVO,2,2302.725341850391,1,2,1405.188162032538,1974553.7707163822,0.0,0
YC,4,1.0,AER_SVO,2,2302.725341850391,1,2,1405.188162032538,1974553.7707163822,0.0,0
A4,4,0.0,AER_SVO,2,2302.725341850391,1,2,1405.188162032538,1974553.7707163822,0.0,0
AFL,9,8.0,SVO_UUS,1,1577.559507593929,1,1,6663.527910308617,44402604.211461924,0.0,0
SDM,4,0.0,SVO_UUS,1,1577.559507593929,1,1,6663.527910308617,44402604.211461924,0.0,0
HZ,2,1.0,SVO_UUS,1,1577.559507593929,1,1,6663.527910308617,44402604.211461924,0.0,0
AUL,0,0.0,SVO_UUS,1,1577.559507593929,1,1,6663.527910308617,44402604.211461924,0.0,0
5N,0,0.0,SVO_UUS,1,1577.559507593929,1,1,6663.527910308617,44402604.211461924,0.0,0
RT,0,0.0,SVO_UUS,1,1577.559507593929,1,1,6663.527910308617,44402604.211461924,0.0,0
SHU,0,0.0,SVO_UUS,1,1577.559507593929,1,1,6663.527910308617,44402604.211461924,0.0,0
WZ,2,0.0,SVO_UUS,1,1577.559507593929,1,1,6663.527910308617,44402604.211461924,0.0,0
DP,4,0.0,SVO_UUS,1,1577.559507593929,1,1,6663.527910308617,44402604.211461924,0.0,0
7R,2,0.0,SVO_UUS,1,1577.559507593929,1,1,6663.527910308617,44402604.211461924,0.0,0
DRU,0,0.0,SVO_UUS,1,1577.559507593929,1,1,6663.527910308617,44402604.211461924,0.0,0
KAR,0,0.0,SVO_UUS,1,1577.559507593929,1,1,6663.527910308617,44402604.211461924,0.0,0
U6,6,0.0,SVO_UUS,1,1577.559507593929,1,1,6663.527910308617,44402604.211461924,0.0,0
KZN,0,0.0,SVO_UUS,1,1577.559507593929,1,1,6663.527910308617,44402604.211461924,0.0,0
RSJ,0,0.0,SVO_UUS,1,1577.559507593929,1,1,6663.527910308617,44402604.211461924,0.0,0
S7,22,1.0,SVO_UUS,1,1577.559507593929,1,1,6663.527910308617,44402604.211461924,0.0,0
Y7,4,0.0,SVO_UUS,1,1577.559507593929,1,1,6663.527910308617,44402604.211461924,0.0,0
R3,4,0.0,SVO_UUS,1,1577.559507593929,1,1,6663.527910308617,44402604.211461924,0.0,0
UVT,0,0.0,SVO_UUS,1,1577.559507593929,1,1,6663.527910308617,44402604.211461924,0.0,0
N4,5,4.0,SVO_UUS,1,1577.559507593929,1,1,6663.527910308617,44402604.211461924,0.0,0
FV,11,2.0,SVO_UUS,1,1577.559507593929,1,1,6663.527910308617,44402604.211461924,1.0,1
RSD,2,0.0,SVO_UUS,1,1577.559507593929,1,1,6663.527910308617,44402604.211461924,0.0,0
UT,13,0.0,SVO_UUS,1,1577.559507593929,1,1,6663.527910308617,44402604.211461924,0.0,0
SU,26,22.0,SVO_UUS,1,1577.559507593929,1,1,6663.527910308617,44402604.211461924,1.0,0
NWS,3,2.0,SVO_UUS,1,1577.559507593929,1,1,6663.527910308617,44402604.211461924,0.0,0
YC,4,0.0,SVO_UUS,1,1577.559507593929,1,1,6663.527910308617,44402604.211461924,0.0,0
A4,4,0.0,SVO_UUS,1,1577.559507593929,1,1,6663.527910308617,44402604.211461924,0.0,0
AFL,9,0.0,GDX_OVB,1,387.30995339650127,1,0,3938.832567032169,15514401.991113227,0.0,0
SDM,4,1.0,GDX_OVB,1,387.30995339650127,1,0,3938.832567032169,15514401.991113227,0.0,0
HZ,2,0.0,GDX_OVB,1,387.30995339650127,1,0,3938.832567032169,15514401.991113227,0.0,0
AUL,0,0.0,GDX_OVB,1,387.30995339650127,1,0,3938.832567032169,15514401.991113227,0.0,0
